"Source:","/home/vasu/Documents/projects/bed_presence/PCB/adc_board/adc_board.sch"
"Date:","Sat 16 Oct 2021 12:32:41 PM EDT"
"Tool:","Eeschema 5.1.10-88a1d61d58~90~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","146"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C4, C6, C9, C11, C12, C13, C15, C16, C17, C19, C20, C21, C23, C24, C25, ","17","0.1uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol",""
"C3, C5, C7, C8, ","4","10uF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol",""
"C10, C14, C18, C22, ","4","10nF","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol",""
"D1, D2, ","2","LTST-C19HE1WT","LTST-C19HE1WT","digikey-footprints:LED_Dual0603","LED RGB DIFFUSED CHIP SMD",""
"H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H12, ","12","MountingHole","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","Mounting Hole with connection",""
"J1, ","1","Conn_02x05_Counter_Clockwise","Conn_02x05_Counter_Clockwise","2x5header:PinHeader_2x05_P2.54mm_Vertical_SMD","Generic connector, double row, 02x05, counter clockwise pin numbering scheme (similar to DIP packge numbering), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, J3, J4, J5, ","4","54-00177","54-00177","54-00177:54-00177","CONN JACK 4COND 3.5MM SMD R/A",""
"MOSFET1, MOSFET2, ","2","SSM3J332R","SSM3J332R","ul_SSM3J332R:SSM3J332R","",""
"NT1, ","1","Net-Tie_2","Net-Tie_2","NetTie:NetTie-2_SMD_Pad0.5mm","Net tie, 2 pins",""
"R1, R2, R6, R7, R8, R9, R10, R11, R12, R13, ","10","100R","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small symbol",""
"R3, R4, R5, ","3","10K 0.5%","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small symbol",""
"TP1, TP4, ","2","3V3","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP2, TP5, TP10, TP13, TP16, TP19, TP21, TP29, TP33, TP37, TP38, TP42, TP46, TP50, TP51, TP55, TP59, TP63, TP64, TP68, TP72, TP76, TP77, ","23","GND","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP3, TP12, TP14, ","3","5V_PROT","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP6, ","1","3V3_PROT","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP7, ","1","1V65_REF","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP8, TP17, ","2","3V3_REF","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP9, ","1","PGOOD","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP11, ","1","ENABLE","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP15, TP18, ","2","AVDD","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP20, ","1","DVDD","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP22, ","1","CLK","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP23, ","1","MISO","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP24, ","1","MOSI","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP25, ","1","SCK","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP26, ","1","CS","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP27, ","1","IRQ","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP28, TP36, TP41, TP49, TP54, TP62, TP67, TP75, ","8","VDD","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP30, TP43, TP56, TP69, ","4","BR+","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP31, TP44, TP57, TP70, ","4","BR-","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP32, TP45, TP58, TP71, ","4","1V65","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP34, TP47, TP60, TP73, ","4","AMP+","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP35, TP48, TP61, TP74, ","4","AMP-","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP39, TP52, TP65, TP78, ","4","DIFF+","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"TP40, TP53, TP66, TP79, ","4","DIFF-","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","test point",""
"U1, ","1","MCP1755T-3302E_OT","MCP1755T-3302E_OT","ul_MCP1755T-3302E-OT:MCP1755T-3302E&slash_OT","",""
"U2, ","1","MAX6070BAUT33T","MAX6070BAUT33T","MAX6070BAUT33T:SOT95P280X145-6N","",""
"U3, ","1","MCP3564-E_ST","MCP3564-E_ST","‎MCP3564-E-ST:MCP3564-E&slash_ST","",""
"U4, U5, U6, U7, ","4","MAX4209HAUA","MAX4209HAUA","MAX4209HAUA:SOP65P490X110-8N","",""
